gene_symbol,mean_normal,mean_tumor,std_normal,std_tumor,log2FC,pvalue,n_samples,padj
SAA1,3.64,4.5,1.17,1.86,0.308,0.0649,25,0.1161
FAM71E1,3.23,4.0,0.27,0.59,0.308,3.16e-06,25,1.93e-05
GCAT,4.41,5.46,0.51,0.61,0.308,5.26e-08,25,5.41e-07
STK32C,3.16,3.91,0.2,0.81,0.308,1.53e-04,25,5.88e-04
ALG8,5.95,7.36,0.49,0.47,0.308,1.35e-10,25,3.37e-09
NPR2,3.99,3.23,0.88,0.49,-0.308,0.0025,25,0.0067
SLC22A5,4.85,3.92,0.65,0.3,-0.308,1.40e-05,25,7.09e-05
WHAMML1 /// WHAMML2,3.85,3.11,0.97,0.38,-0.308,0.0017,25,0.0047
KIAA1644,2.95,2.38,0.88,0.15,-0.308,0.0053,25,0.0132
C9orf30,4.21,5.21,0.82,0.56,0.308,1.26e-04,25,4.95e-04
MGC31957,2.46,3.05,0.16,0.69,0.308,7.91e-04,25,0.0025
LUZP2,3.22,2.61,0.35,0.34,-0.308,3.67e-06,25,2.19e-05
NUDT1,6.26,7.74,0.46,0.59,0.307,6.82e-12,25,2.98e-10
POLR3H,3.91,4.84,0.28,0.42,0.307,6.10e-09,25,8.40e-08
ABCA9,3.26,2.64,0.26,0.11,-0.307,8.38e-11,25,2.28e-09
AKAP5,3.68,2.97,0.47,0.47,-0.307,9.09e-05,25,3.71e-04
TIPIN,4.08,5.05,0.24,0.46,0.307,8.86e-11,25,2.40e-09
NRXN3,5.94,4.8,1.6,1.45,-0.307,0.0267,25,0.0539
FGFRL1,3.26,4.03,0.18,0.36,0.307,2.60e-09,25,4.04e-08
ADAM12,2.52,3.12,0.12,0.54,0.307,2.34e-05,25,1.11e-04
TXNRD3,3.96,4.9,0.33,0.45,0.307,5.80e-09,25,8.05e-08
RNFT2,2.64,3.26,0.18,0.39,0.307,2.59e-07,25,2.20e-06
FOXRED2,4.54,5.62,0.34,0.5,0.307,4.15e-11,25,1.28e-09
ROR1,4.13,3.34,0.67,0.56,-0.307,7.19e-04,25,0.0023
TEX10,4.1,5.07,0.24,0.27,0.307,2.98e-12,25,1.55e-10
PEX11A,6.2,5.01,0.65,0.67,-0.307,1.49e-06,25,9.93e-06
RRP1,3.57,4.41,0.19,0.35,0.307,2.95e-11,25,9.62e-10
LGALS9B /// LGALS9C,4.72,3.82,1.06,0.56,-0.306,9.44e-04,25,0.0029
SCLY /// UBE2F,3.65,4.51,0.12,0.26,0.306,1.35e-14,25,3.01e-12
IMPDH1,5.31,6.56,0.2,0.54,0.306,2.62e-10,25,5.91e-09
C3orf31,3.35,4.14,0.19,0.43,0.306,1.35e-10,25,3.38e-09
HMGB3,5.32,6.58,0.79,0.69,0.306,4.64e-06,25,2.69e-05
PEX26,3.72,3.01,0.53,0.14,-0.306,1.63e-06,25,1.08e-05
NAA15,4.64,5.74,0.3,0.39,0.306,3.32e-10,25,7.16e-09
SGCD,3.73,3.02,0.9,0.65,-0.306,0.0046,25,0.0116
MPHOSPH9,3.03,3.74,0.28,0.54,0.306,2.51e-06,25,1.57e-05
NUPL1,4.96,6.13,0.15,0.4,0.305,2.85e-13,25,2.60e-11
MAST2,6.35,5.14,0.69,0.39,-0.305,1.32e-08,25,1.67e-07
TPST1,4.25,3.44,0.92,0.92,-0.305,0.0097,25,0.0222
ORM2,2.21,2.74,0.13,0.94,0.305,0.0146,25,0.0319
CADM1,4.53,3.67,0.82,0.83,-0.305,0.0038,25,0.0097
RCBTB1,3.06,3.78,0.2,0.32,0.305,5.03e-09,25,7.11e-08
ARSE,5.86,7.24,0.83,0.8,0.305,1.46e-06,25,9.77e-06
C1orf51,3.54,2.87,0.96,0.51,-0.305,0.0095,25,0.0219
GBP3,7.59,6.14,1.42,1.23,-0.305,9.10e-07,25,6.50e-06
SPIN4,4.48,5.54,0.27,0.52,0.305,8.87e-09,25,1.17e-07
GRPEL2,4.33,5.35,0.17,0.41,0.305,4.29e-12,25,2.06e-10
FTSJ2,5.6,6.92,0.42,0.5,0.305,2.57e-11,25,8.60e-10
KGFLP2,3.08,2.49,0.76,0.19,-0.305,0.0016,25,0.0046
March 2,6.49,5.26,1.0,0.6,-0.305,6.36e-05,25,2.70e-04
EEF1E1,6.76,8.34,0.61,0.56,0.304,8.17e-10,25,1.52e-08
CCDC41,3.39,4.19,0.19,0.59,0.304,6.24e-06,25,3.49e-05
TMEM74,2.85,2.31,0.96,0.16,-0.304,0.0130,25,0.0286
TRIM9,2.64,2.14,0.42,0.15,-0.304,2.14e-06,25,1.37e-05
TIMM50,4.82,5.96,0.31,0.37,0.304,1.28e-13,25,1.43e-11
WDR67,3.68,4.54,0.27,0.49,0.304,2.91e-07,25,2.43e-06
C1orf54,6.19,5.01,1.11,0.83,-0.304,5.37e-04,25,0.0018
EIF2S2,5.38,6.64,0.15,0.55,0.304,3.15e-11,25,1.02e-09
FBXO2,2.97,3.67,0.31,0.84,0.304,0.0022,25,0.0060
YARS2,5.77,7.12,0.3,0.5,0.304,2.47e-13,25,2.34e-11
HERC6,6.59,5.34,1.15,0.76,-0.304,2.41e-06,25,1.51e-05
ODC1,6.93,8.56,0.54,0.65,0.304,3.93e-12,25,1.93e-10
WDR54,5.18,6.39,0.56,0.78,0.304,4.63e-07,25,3.62e-06
SAMD13,8.09,6.56,1.03,1.06,-0.304,2.66e-04,25,9.51e-04
SPACA3,2.29,2.83,0.2,0.76,0.303,0.0031,25,0.0081
NFS1,4.11,5.07,0.17,0.59,0.303,2.40e-08,25,2.77e-07
BCL11B,4.72,5.82,0.92,0.55,0.303,8.54e-05,25,3.52e-04
TCEA3,6.35,5.15,0.37,0.93,-0.303,2.02e-05,25,9.76e-05
C17orf76,6.94,5.63,0.84,0.66,-0.303,4.81e-06,25,2.78e-05
USP6NL,4.44,5.48,0.21,0.46,0.303,1.53e-09,25,2.58e-08
XPOT,7.28,8.98,0.3,0.45,0.303,1.08e-14,25,2.55e-12
SLC30A10,3.24,2.63,0.56,0.15,-0.303,4.45e-05,25,1.97e-04
SKIL,3.72,4.59,0.31,0.54,0.303,3.57e-06,25,2.15e-05
ZNF385B,2.87,2.32,0.44,0.18,-0.303,2.56e-05,25,1.21e-04
BYSL,2.83,3.49,0.12,0.19,0.303,2.09e-12,25,1.19e-10
LMO2,4.65,3.77,0.36,0.5,-0.303,3.45e-07,25,2.81e-06
CHTF18,3.24,4.0,0.26,0.37,0.303,3.12e-09,25,4.70e-08
C6,3.24,2.62,0.55,0.52,-0.303,1.58e-04,25,6.04e-04
SGCG,2.53,2.06,0.5,0.14,-0.302,1.71e-04,25,6.46e-04
E2F5,6.52,8.05,0.54,0.7,0.302,7.86e-10,25,1.47e-08
DGKA,4.03,3.27,0.39,0.31,-0.302,1.19e-06,25,8.15e-06
FAM8A1,7.56,6.13,0.52,0.52,-0.302,1.91e-08,25,2.29e-07
DDX21,8.19,10.1,0.34,0.3,0.302,5.13e-18,25,2.05e-14
GZMK,4.45,3.61,1.07,1.01,-0.302,0.0131,25,0.0288
MSH6,5.28,6.51,0.51,0.6,0.302,3.56e-08,25,3.87e-07
WNT3,2.95,3.63,0.16,0.44,0.302,5.34e-07,25,4.11e-06
PNLIPRP2,5.7,4.63,1.83,1.31,-0.302,0.0018,25,0.0052
DDIT4,6.36,7.84,0.86,0.96,0.302,8.12e-06,25,4.39e-05
SUV39H1,3.46,4.26,0.14,0.39,0.302,2.46e-10,25,5.60e-09
FLNA,6.96,5.65,2.05,0.99,-0.302,0.0198,25,0.0415
FAM189A2,3.35,2.72,0.38,0.25,-0.302,2.04e-07,25,1.78e-06
KIAA1370,6.23,5.06,0.45,0.41,-0.302,2.28e-09,25,3.59e-08
SLAIN1,3.37,2.73,0.76,0.72,-0.302,0.0097,25,0.0223
C20orf46,3.51,4.32,0.24,0.88,0.302,1.42e-04,25,5.52e-04
HRASLS5,2.75,2.23,0.49,0.12,-0.301,2.45e-05,25,1.16e-04
FABP1 /// PRDM10,12.53,10.16,1.02,2.27,-0.301,2.40e-04,25,8.69e-04
POLR3G,2.13,2.63,0.13,0.43,0.301,7.49e-06,25,4.09e-05
GTPBP5,3.69,4.55,0.24,0.54,0.301,5.01e-08,25,5.17e-07
OGFOD1,4.69,5.78,0.34,0.25,0.301,3.53e-14,25,5.72e-12
RHEBL1,2.76,3.4,0.2,0.46,0.301,5.73e-07,25,4.36e-06
CBX7,4.79,3.89,0.54,0.35,-0.301,5.98e-06,25,3.35e-05
EARS2,3.62,4.46,0.23,0.31,0.301,7.27e-13,25,5.19e-11
TSGA14,3.27,4.03,0.12,0.34,0.301,4.29e-11,25,1.32e-09
PDZRN3,5.36,4.35,0.99,0.95,-0.301,0.0033,25,0.0087
GART,4.29,5.29,0.18,0.47,0.301,3.35e-11,25,1.08e-09
GRAMD2,2.5,3.08,0.17,0.4,0.301,3.37e-07,25,2.76e-06
CYSLTR1,3.66,2.97,0.47,0.31,-0.3,1.03e-05,25,5.42e-05
DAGLA,2.58,3.17,0.27,0.35,0.3,5.87e-06,25,3.30e-05
PCSK1,2.7,3.33,0.25,1.74,0.3,0.0878,25,0.1499
SLC16A10,3.42,4.22,0.25,0.58,0.3,2.14e-07,25,1.86e-06
RTP4,5.24,4.26,0.86,0.56,-0.3,3.74e-04,25,0.0013
CXCL10,5.86,7.22,0.86,1.7,0.3,0.0013,25,0.0038
CNN2,4.21,5.19,0.31,0.67,0.3,5.83e-07,25,4.43e-06
DPH2,5.02,6.18,0.23,0.46,0.3,8.71e-13,25,5.95e-11
AMOTL1,4.3,3.49,0.99,0.49,-0.3,0.0018,25,0.0052
TUT1,3.26,4.01,0.28,0.41,0.3,8.77e-08,25,8.49e-07
CCDC19,2.02,2.48,0.16,0.47,0.299,1.24e-04,25,4.88e-04
SLC7A2,3.37,2.74,0.46,0.48,-0.299,2.60e-04,25,9.30e-04
TMEM41A,5.61,6.9,0.36,0.37,0.299,7.84e-17,25,8.73e-14
SNORA72,5.1,6.27,0.58,0.95,0.299,7.92e-05,25,3.29e-04
RIMKLB,3.6,2.93,0.84,0.35,-0.299,9.83e-04,25,0.0030
MYO5A,4.5,3.65,0.63,0.71,-0.299,4.33e-04,25,0.0015
NTN1,2.98,2.42,0.49,0.17,-0.299,6.81e-06,25,3.76e-05
GLRA4,3.76,3.05,0.61,0.22,-0.299,1.04e-05,25,5.44e-05
DOCK10,4.79,3.9,0.51,0.68,-0.299,4.98e-05,25,2.18e-04
CBFB,4.91,6.04,0.21,0.25,0.299,4.12e-15,25,1.22e-12
KIAA1324L,5.26,4.27,0.66,1.09,-0.299,2.17e-04,25,7.97e-04
C20orf160,3.98,3.24,0.34,0.26,-0.299,2.77e-07,25,2.34e-06
RAD1,4.55,5.6,0.45,0.46,0.299,9.49e-09,25,1.24e-07
RAB3B,3.12,2.54,0.41,0.14,-0.299,7.72e-07,25,5.66e-06
FAM25B /// FAM25C /// FAM25G,3.25,2.65,0.79,0.21,-0.298,0.0027,25,0.0073
SPDEF,5.46,4.44,0.79,1.03,-0.298,0.0010,25,0.0031
GAB1,5.3,4.31,0.21,0.41,-0.298,1.02e-09,25,1.84e-08
PMFBP1,2.38,2.92,0.16,0.63,0.298,1.56e-04,25,5.96e-04
SC65,4.2,5.16,0.24,0.58,0.298,2.43e-08,25,2.80e-07
NXT1,7.3,8.98,0.42,0.8,0.298,1.53e-10,25,3.72e-09
ZNF154,2.99,2.43,0.59,0.35,-0.297,6.18e-04,25,0.0020
PDCD11,4.8,5.9,0.24,0.36,0.297,6.24e-13,25,4.59e-11
ANTXR2,5.84,4.75,0.35,0.4,-0.297,3.24e-10,25,7.02e-09
BVES,2.84,2.31,0.71,0.18,-0.297,0.0020,25,0.0057
NANP,4.09,5.03,0.26,0.51,0.297,2.24e-09,25,3.55e-08
SMYD1,3.19,2.6,0.89,0.2,-0.297,0.0032,25,0.0084
PRIM2,3.72,4.57,0.16,0.29,0.297,1.27e-11,25,4.83e-10
NAA25,5.44,6.69,0.3,0.37,0.297,2.29e-12,25,1.28e-10
RNF112,3.17,2.58,0.23,0.17,-0.297,7.31e-10,25,1.39e-08
PABPC4L,3.69,3.0,0.93,0.75,-0.297,0.0104,25,0.0236
RAB6B,3.59,2.92,0.72,0.24,-0.297,1.68e-04,25,6.35e-04
DMRTA2,2.43,2.98,0.19,0.82,0.297,0.0038,25,0.0098
C1GALT1,4.93,6.06,0.48,0.54,0.297,1.88e-07,25,1.66e-06
PAQR8,9.42,7.67,0.85,0.75,-0.297,8.60e-07,25,6.22e-06
ICA1,5.67,6.96,0.74,0.57,0.297,6.21e-07,25,4.68e-06
C1orf201,3.63,2.96,0.42,0.33,-0.296,1.27e-05,25,6.50e-05
WIF1,2.28,2.8,0.2,1.69,0.296,0.1511,25,0.2364
KIF21B,3.38,4.15,0.31,0.36,0.296,3.85e-08,25,4.15e-07
PVRL4,3.01,3.7,0.36,0.61,0.296,5.64e-05,25,2.43e-04
LMNB1,5.55,6.82,0.7,0.52,0.296,5.94e-08,25,6.01e-07
MGC27345,4.89,6.0,0.32,0.45,0.296,5.26e-13,25,4.11e-11
PPP1R16B,3.67,2.99,0.37,0.25,-0.296,5.51e-07,25,4.22e-06
HES6,7.49,9.19,0.33,0.85,0.296,2.23e-09,25,3.53e-08
HIST1H1C,8.26,6.73,0.9,0.71,-0.296,3.40e-06,25,2.05e-05
GPR146,3.95,3.22,0.47,0.35,-0.296,1.71e-06,25,1.12e-05
CCDC34,4.88,6.0,0.29,0.31,0.296,1.38e-11,25,5.18e-10
THG1L,4.01,4.92,0.31,0.32,0.296,6.71e-11,25,1.88e-09
PLEKHA8 /// PLEKHA9,2.69,3.3,0.22,0.41,0.295,1.19e-07,25,1.11e-06
MAP7D2,2.32,2.85,0.16,0.84,0.295,0.0074,25,0.0176
EXOSC3,3.44,4.23,0.13,0.27,0.295,1.32e-12,25,8.32e-11
SMPD3,5.32,4.34,0.93,0.75,-0.295,0.0028,25,0.0074
TJP3,5.73,4.67,1.08,0.46,-0.295,2.33e-04,25,8.47e-04
C1orf182,2.88,3.53,0.18,0.45,0.295,5.48e-07,25,4.21e-06
MAF,5.03,4.1,0.32,0.5,-0.295,1.22e-07,25,1.13e-06
TBL2,5.48,6.72,0.3,0.4,0.295,9.30e-13,25,6.29e-11
FERMT1,5.12,6.28,0.66,0.7,0.295,9.10e-06,25,4.84e-05
CD53,5.45,4.44,1.12,1.4,-0.295,0.0202,25,0.0422
SRPRB,5.84,7.16,0.34,0.4,0.294,1.04e-13,25,1.26e-11
PARD6A,3.93,4.82,0.53,0.53,0.294,8.55e-06,25,4.59e-05
GLTP,8.47,6.9,0.37,0.36,-0.294,2.64e-13,25,2.48e-11
OCA2,2.84,3.49,0.32,1.18,0.294,0.0221,25,0.0457
SEH1L,5.03,6.16,0.33,0.62,0.294,2.31e-09,25,3.64e-08
ATP2A3,5.18,4.23,0.55,0.46,-0.294,5.16e-06,25,2.96e-05
CENPI,2.33,2.86,0.15,0.35,0.294,1.82e-07,25,1.62e-06
CDC7,2.86,3.51,0.2,0.47,0.294,5.37e-08,25,5.51e-07
PDGFD,3.18,2.59,0.28,0.32,-0.294,1.30e-06,25,8.82e-06
KBTBD12,3.69,3.01,0.32,0.34,-0.294,6.59e-06,25,3.66e-05
POLR1E,4.67,5.72,0.53,0.4,0.294,9.00e-08,25,8.69e-07
MGC42105,2.47,2.02,0.46,0.18,-0.294,3.71e-04,25,0.0013
CCL20,8.2,10.05,1.79,1.61,0.294,3.21e-04,25,0.0011
ARHGAP11A /// ARHGAP11B,2.98,3.65,0.28,0.49,0.294,1.64e-06,25,1.08e-05
RGS1,4.51,3.68,0.67,0.73,-0.294,0.0020,25,0.0056
ZSWIM7,4.44,3.62,0.23,0.34,-0.293,4.66e-09,25,6.65e-08
PUS7L,3.93,4.82,0.21,0.36,0.293,1.11e-10,25,2.87e-09
HOXA11,4.59,5.63,0.76,0.76,0.293,1.86e-04,25,6.95e-04
PDGFRL,4.63,3.78,1.31,1.1,-0.293,0.0364,25,0.0706
POLR3E,5.47,6.7,0.35,0.34,0.293,2.81e-13,25,2.58e-11
PATZ1,5.24,6.42,0.53,0.38,0.293,1.34e-10,25,3.36e-09
MPPE1,5.54,4.52,0.34,0.39,-0.293,6.06e-10,25,1.19e-08
TGIF1,6.48,7.94,0.38,0.45,0.293,2.48e-12,25,1.34e-10
RPS14,8.12,9.94,0.33,0.52,0.293,8.73e-15,25,2.16e-12
ACBD7,2.64,3.24,0.17,0.41,0.293,7.40e-07,25,5.45e-06
B3GNT8,6.87,5.61,0.81,0.73,-0.293,4.05e-05,25,1.82e-04
CDK5R1,3.23,3.96,0.46,0.51,0.293,9.99e-07,25,7.06e-06
WNT2B,3.57,2.92,0.41,0.3,-0.293,1.92e-06,25,1.24e-05
PRSS1 /// PRSS2 /// PRSS3,2.75,3.37,0.45,1.28,0.293,0.0385,25,0.0741
TIMM16,5.8,7.11,0.18,0.49,0.293,5.53e-12,25,2.52e-10
FOXP2,2.84,2.32,0.47,0.17,-0.293,1.91e-05,25,9.31e-05
MRPS17 /// ZNF713,7.66,9.38,0.27,0.53,0.293,3.46e-14,25,5.72e-12
KDM5D,4.61,3.77,1.01,0.81,-0.293,4.58e-05,25,2.02e-04
ALDH1A1,8.67,7.08,1.03,2.11,-0.292,9.09e-04,25,0.0028
RASSF2,4.26,3.48,0.57,0.58,-0.292,2.45e-04,25,8.84e-04
ZFHX4,3.26,2.66,1.06,0.61,-0.292,0.0326,25,0.0642
TCOF1,3.91,4.79,0.16,0.3,0.292,1.89e-12,25,1.10e-10
KLRC1 /// KLRC2,4.58,3.74,0.98,1.34,-0.292,0.0207,25,0.0431
DCLRE1A,5.05,6.19,0.35,0.49,0.292,5.32e-09,25,7.45e-08
IGK@ /// IGKC,7.21,5.89,1.45,1.84,-0.292,0.0159,25,0.0343
LIPT2,3.03,3.71,0.31,0.58,0.292,1.57e-05,25,7.82e-05
ATP8A1,4.59,3.75,0.48,0.44,-0.292,5.21e-06,25,2.98e-05
DNAJA3,4.79,5.86,0.24,0.42,0.292,7.27e-12,25,3.13e-10
ABP1,9.74,7.96,1.51,1.13,-0.292,4.50e-04,25,0.0015
BCL2L12,6.76,8.28,0.36,0.54,0.292,6.56e-14,25,8.88e-12
AHNAK,8.27,6.76,0.44,0.66,-0.292,1.36e-09,25,2.34e-08
C3orf32,2.88,3.52,0.33,0.87,0.292,0.0012,25,0.0035
NGB,2.92,2.39,0.74,0.19,-0.292,0.0026,25,0.0071
SORBS2,4.92,4.02,1.08,0.77,-0.292,0.0012,25,0.0037
TEF,4.69,3.84,0.23,0.33,-0.292,4.80e-11,25,1.43e-09
CYP27B1,2.56,3.13,0.22,0.35,0.292,5.20e-06,25,2.98e-05
UTP14A /// UTP14C,6.49,7.95,0.21,0.44,0.292,1.39e-14,25,3.06e-12
THSD1 /// THSD1P1,3.85,4.71,0.46,0.99,0.291,6.96e-04,25,0.0022
TP53I3,8.9,7.27,0.83,0.58,-0.291,2.27e-07,25,1.96e-06
VARS,3.24,3.97,0.2,0.37,0.291,4.71e-08,25,4.91e-07
MTHFD1,6.77,8.28,0.64,0.58,0.291,8.89e-09,25,1.17e-07
RRP15,4.46,5.46,0.35,0.42,0.291,1.49e-09,25,2.52e-08
QTRTD1,3.75,4.59,0.19,0.3,0.291,5.62e-12,25,2.54e-10
CCL5,7.08,5.78,1.19,1.16,-0.291,3.07e-04,25,0.0011
WDR12,5.27,6.45,0.23,0.28,0.291,5.81e-15,25,1.57e-12
METTL11A,5.61,6.86,0.2,0.34,0.291,4.57e-15,25,1.29e-12
EIF4A2 /// SNORA4,2.57,3.14,0.2,1.28,0.291,0.0471,25,0.0882
SNORA65,2.74,3.36,0.27,0.68,0.291,9.04e-05,25,3.70e-04
PER3,4.3,3.52,0.53,0.35,-0.291,2.83e-05,25,1.32e-04
MTM1,5.08,4.15,0.56,0.46,-0.291,5.85e-06,25,3.30e-05
NTSR1,3.06,2.5,1.15,0.36,-0.29,0.0414,25,0.0788
C7orf27,5.63,6.88,0.28,0.47,0.29,1.57e-11,25,5.77e-10
C22orf29,3.48,4.26,0.15,0.42,0.29,5.04e-09,25,7.12e-08
TMEM63A,4.82,5.89,0.43,0.47,0.29,3.11e-08,25,3.46e-07
CCNO,2.26,2.76,0.12,0.25,0.29,1.34e-09,25,2.31e-08
CD79A,3.43,2.81,0.82,0.44,-0.29,0.0074,25,0.0176
AP3S2,5.93,4.85,0.5,0.42,-0.29,1.56e-09,25,2.61e-08
BRWD3,3.3,4.03,0.41,0.49,0.29,2.56e-05,25,1.21e-04
ASPSCR1,4.53,5.54,0.27,0.71,0.29,4.59e-07,25,3.60e-06
CCNE2,4.02,4.92,0.55,0.5,0.29,3.88e-06,25,2.30e-05
MIF /// SLC2A11,7.48,9.14,0.58,0.5,0.29,5.93e-11,25,1.71e-09
OVGP1,2.96,3.62,0.2,0.45,0.29,6.26e-06,25,3.50e-05
MDFI,2.93,3.58,0.32,0.61,0.289,5.04e-05,25,2.20e-04
C17orf90,3.65,4.46,0.23,0.33,0.289,5.46e-10,25,1.09e-08
C6orf223,3.99,4.88,0.26,0.48,0.289,3.21e-09,25,4.81e-08
NOXO1,3.79,4.63,0.61,1.42,0.289,0.0122,25,0.0273
ANKRD16,3.15,3.84,0.29,0.39,0.289,4.31e-08,25,4.56e-07
C1QTNF2,2.96,2.42,0.31,0.16,-0.289,8.31e-08,25,8.10e-07
FANCA,3.03,3.7,0.16,0.27,0.289,8.51e-11,25,2.31e-09
POC1A,4.95,6.04,0.61,0.54,0.289,7.31e-07,25,5.40e-06
SP6,3.63,4.44,0.27,0.63,0.289,2.10e-05,25,1.01e-04
APITD1,5.05,6.17,0.35,0.6,0.289,1.19e-08,25,1.52e-07
DCUN1D5,7.68,9.38,0.44,0.44,0.289,1.76e-12,25,1.05e-10
ENOPH1,6.21,7.59,0.36,0.51,0.289,1.81e-10,25,4.31e-09
CHD7,4.2,5.12,0.32,0.47,0.289,1.01e-07,25,9.66e-07
ADA,4.9,5.99,0.51,0.99,0.288,2.21e-05,25,1.06e-04
THRSP,3.05,2.49,0.76,0.18,-0.288,0.0019,25,0.0054
PDPN,2.67,3.26,0.23,0.64,0.288,8.80e-04,25,0.0027
FEZ1,3.6,2.95,0.61,0.25,-0.288,1.32e-04,25,5.17e-04
DNAH2,2.76,3.37,0.17,0.58,0.288,6.81e-05,25,2.87e-04
STMN3,4.04,4.93,0.62,1.43,0.288,0.0207,25,0.0432
DPH5,4.47,5.45,0.56,0.6,0.288,2.01e-06,25,1.29e-05
LOC100130776,2.63,3.21,0.21,0.4,0.288,7.92e-07,25,5.79e-06
HCST,5.57,4.56,0.53,0.88,-0.288,1.35e-04,25,5.26e-04
GPN3,5.58,6.81,0.69,0.37,0.288,1.51e-08,25,1.87e-07
TBC1D30,2.7,3.3,0.18,0.34,0.288,3.77e-07,25,3.03e-06
SUSD5,2.56,2.1,0.25,0.13,-0.288,1.28e-07,25,1.18e-06
CLEC2B,6.29,5.15,0.52,0.68,-0.288,2.25e-06,25,1.43e-05
EPHA2,4.43,5.4,0.63,0.74,0.288,1.63e-06,25,1.07e-05
DNTTIP1,7.14,8.72,0.27,0.78,0.287,4.63e-11,25,1.39e-09
IL20RA,4.65,5.67,0.67,0.71,0.287,6.61e-05,25,2.80e-04
ATP2B4,4.55,3.73,0.84,0.3,-0.287,1.92e-04,25,7.17e-04
TDRD5,2.07,2.53,0.19,0.59,0.287,0.0023,25,0.0064
CSF2RB,5.09,4.17,0.51,0.77,-0.287,2.09e-04,25,7.72e-04
FANCD2,3.48,4.25,0.34,0.34,0.287,5.78e-08,25,5.87e-07
IL1RN,2.91,3.55,0.39,0.81,0.287,0.0016,25,0.0046
CAV2,6.87,5.63,1.22,1.0,-0.287,9.46e-04,25,0.0029
ANAPC1,6.6,8.05,0.35,0.39,0.287,2.94e-13,25,2.63e-11
PLK4,3.08,3.76,0.17,0.41,0.287,5.25e-08,25,5.41e-07
STC1,3.35,4.09,0.64,0.82,0.287,0.0026,25,0.0071
TBL3,4.84,5.9,0.35,0.52,0.287,1.12e-09,25,1.98e-08
MDFIC,4.66,3.82,0.8,0.84,-0.287,0.0037,25,0.0095
ZNF75A,3.98,3.26,0.29,0.47,-0.287,3.10e-07,25,2.58e-06
SRD5A1,3.93,4.8,0.36,0.53,0.287,7.17e-07,25,5.31e-06
FZD10,2.73,3.33,0.13,1.56,0.287,0.0740,25,0.1297
IL4I1,2.76,3.36,0.59,0.79,0.286,0.0096,25,0.0220
PDZD8,5.35,6.52,0.54,0.71,0.286,5.00e-07,25,3.87e-06
SYTL4,4.5,3.69,0.25,0.33,-0.286,6.21e-09,25,8.52e-08
UQCC,3.83,4.67,0.2,0.4,0.286,1.40e-10,25,3.46e-09
ADCY4,4.15,3.41,0.39,0.49,-0.286,7.87e-07,25,5.76e-06
TIMP1,5.95,7.26,0.87,0.69,0.286,3.27e-05,25,1.50e-04
TOMM40,4.98,6.07,0.4,0.55,0.286,5.28e-09,25,7.41e-08
FAM60A,6.27,7.65,0.48,0.35,0.286,2.09e-11,25,7.27e-10
NUDT5,5.8,7.07,0.43,0.49,0.286,8.93e-12,25,3.69e-10
ACOX1,8.43,6.92,1.01,0.52,-0.286,5.24e-06,25,3.00e-05
NBPF1 /// NBPF10,8.07,6.62,0.5,0.46,-0.286,5.30e-11,25,1.55e-09
TUBB3,5.55,6.77,1.25,1.33,0.286,0.0069,25,0.0165
FAM24B,2.48,3.03,0.17,0.45,0.286,5.46e-06,25,3.10e-05
LY96,6.14,5.04,0.8,1.39,-0.286,0.0086,25,0.0201
CRIP1,9.22,7.56,0.76,1.16,-0.286,5.78e-06,25,3.26e-05
DST,4.58,3.76,0.24,0.32,-0.285,3.87e-11,25,1.21e-09
GLRA2,3.06,2.51,0.76,0.63,-0.285,0.0119,25,0.0267
MGLL,8.64,7.09,0.47,0.7,-0.285,3.02e-09,25,4.58e-08
DNAJC28,3.34,2.74,0.35,0.27,-0.285,4.08e-07,25,3.25e-06
EIF5A2,3.32,4.05,0.47,0.34,0.285,7.66e-06,25,4.18e-05
FGFBP1,6.29,5.16,1.34,1.45,-0.285,0.0032,25,0.0084
DUS3L,3.97,4.84,0.2,0.33,0.285,3.87e-11,25,1.21e-09
SKP2,2.42,2.95,0.16,0.32,0.285,1.21e-07,25,1.13e-06
MYBBP1A,3.52,4.29,0.14,0.39,0.285,2.96e-09,25,4.50e-08
C16orf59,3.15,3.84,0.18,0.25,0.285,4.13e-12,25,2.00e-10
GNG8,2.92,2.4,0.5,0.17,-0.285,7.10e-05,25,2.98e-04
RRAD,3.8,3.12,0.61,1.03,-0.285,0.0130,25,0.0286
CHCHD6,5.26,6.4,0.44,0.39,0.285,1.94e-09,25,3.14e-08
RSRC1,4.87,5.94,0.44,0.49,0.285,5.97e-07,25,4.52e-06
PEMT,4.8,5.85,0.6,0.64,0.285,4.13e-06,25,2.44e-05
TAF1D,6.15,7.49,0.42,0.56,0.285,2.51e-10,25,5.70e-09
EFS,3.4,2.79,0.54,0.3,-0.284,1.32e-04,25,5.17e-04
ADCY9,4.62,3.79,0.23,0.25,-0.284,2.09e-11,25,7.27e-10
C9orf16,5.97,7.28,0.45,0.79,0.284,8.86e-08,25,8.57e-07
IPO5,6.99,8.52,0.47,0.46,0.284,3.42e-10,25,7.34e-09
SLC38A4,3.18,2.61,0.55,0.49,-0.284,0.0012,25,0.0035
ALG1,3.27,3.98,0.36,0.68,0.284,2.17e-04,25,7.96e-04
TXNIP,10.99,9.03,0.3,1.03,-0.284,3.04e-09,25,4.61e-08
ZNF107,2.46,3.0,0.54,0.6,0.284,0.0046,25,0.0116
REEP1,3.9,3.21,1.11,0.73,-0.284,0.0081,25,0.0189
